Create Account,0x2000000
Email Address,0x2000001
Login,0x2000002
Account Name,0x2000003
Password,0x2000004
Verify Password,0x2000005
A,0x2000006
B,0x2000007
C,0x2000008
D,0x2000009
E,0x200000a
F,0x200000b
G,0x200000c
H,0x200000d
I,0x200000e
J,0x200000f
K,0x2000010
L,0x2000011
M,0x2000012
N,0x2000013
O,0x2000014
P,0x2000015
Q,0x2000016
R,0x2000017
S,0x2000018
T,0x2000019
U,0x200001a
V,0x200001b
W,0x200001c
X,0x200001d
Y,0x200001e
Z,0x200001f
Wouldst thou like to view the introductory story and take a personality test to decide thy character?,0x2000020
Are you sure you want to delete this character? Character deletions are permanent and cannot be undone. Please type <C#00FF00>%s<C#FFFFFF> to confirm deletion.,0x2000021
Mismatched name verification,0x2000022
Art thou Male or Female?,0x2000023
"Entrusted to deliver an uncounted purse of gold, thou dost meet a poor beggar. Dost thou:<B>1) Deliver the gold knowing the trust in thee was well-placed<B>2) Give the beggar a coin, knowing it won't be missed?",0x2000024
"Thou hast been prohibited by thy absent Lord from joining thy friends in a close pitched battle. Dost thou:<B>1) Refrain, so thou may claim obedience<B>2) Aid thy comrades, knowing thou may deny it later?",0x2000025
"A merchant owes thy friend money, now long past due. Thou dost see the same merchant drop a purse of gold. Dost thou:<B>1) Return the purse intact<B>2) Give thy friend a portion of the gold first?",0x2000026
"Thee and thy friend are valiant but penniless warriors. Thou both go out to slay a mighty dragon. Thy friend thinks he slew it, thee did. When asked, dost thou:<B>1) Claim the gold<B>2) Allow thy friend the large reward?",0x2000027
"Thou art sworn to protect thy Lord at any cost, yet thou knowest he hast committed a crime. Authorities ask the of the affair, dost thou:<B>1) Silently keep thine oath<B>2) Break thine oath by speaking?",0x2000028
"Thy friend seeks admittance to thy Spiritual order. Thou art asked to vouch for his purity of Spirit, of which thou art unsure. Dost thou:<B>1) Express thy doubt<B>2) Vouch for him, hoping for his improvement?",0x2000029
"Thy Lord mistakenly believes he slew a dragon. Thou hast proof that thy lance felled the beast. When asked, dost thou:<B>1) Claim the kill and the prize<B>2) Permit thy Lord his belief?",0x200002a
Thou dost manage to disarm thy mortal enemy in a duel. He is at thy mercy. Dost thou:<B>1) Permit him to yield<B>2) Slay him as expected of a duelist?,0x200002b
After 20 years thou hast found the slayer of thy best friends. The villain proves to be a man who provides the sole support for a young girl. Dost thou:<B>1) Spare him for the girl<B>2) Slay him?,0x200002c
"Thee and thy friends have been routed and ordered to retreat. In defiance of thy orders, dost thou:<B>1) Stop to aid a wounded companion<B>2) Give thyself to slow the pursuing enemy, so others can escape?",0x200002d
Thou art sworn to uphold a Lord who participates in the forbidden torture of prisoners. Each night their cries of pain reach thee. Dost thou:<B>1) Report the deeds<B>2) Keep thine oath and ignore the deeds?,0x200002e
Thou hast been taught to preserve all life as sacred. A man lies fatally stung by a venomous serpent. He pleads for a merciful death. Dost thou:<B>1) End his pain<B>2) Heed thy beliefs and refuse?,0x200002f
"As one of the King's Guard, thy Captain has asked that one amongst you visit a hospital to cheer the children with tales of thy valiant deeds. Dost thou:<B>1) Agree and play the braggart<B>2) Let another go?",0x2000030
Thou hast been sent to secure a needed treaty with a distant Lord. Thy host is agreeable to the proposal but insults thy country at dinner. Dost thou:<B>1) Bear the slurs<B>2) Rise and demand an apology?,0x2000031
A mighty knight accosts thee and demands thy food. Dost thou:<B>1) Refuse and engage the knight<B>2) Give thy food unto the hungry knight?,0x2000032
During battle thou art ordered to guard thy commander's empty tent. The battle goes poorly and thou dost yearn to aid thy fellows. Dost thou:<B>1) Enter the battle to aid thy companions<B>2) Keep thy post as guard?,0x2000033
"A local bully pushes for a fight. Dost thou:<B>1) Trounce the rogue<B>2) Decline, knowing that no lasting good will come of it?",0x2000034
"Although a teacher of music, thou art a skillful wrestler. Thou hast been asked to fight in a local championship. Dost thou:<B>1) Accept the invitation and fight to win<B>2) Decline knowing thou art sure to win?",0x2000035
"During a pitched battle, thou dost see a fellow desert his post, endangering many. As he flees, he is set upon by several enemies. Dost thou:<B>1) Let him fight alone<B>2) Risk thine own life to aid him?",0x2000036
"Thou hast sworn to do thy Lord's bidding in all. He covets a piece of land and orders the owner removed. Dost thou:<B>1) Refuse to act, thus being disgraced<B>2) Keep thine oath and unfairly evict the landowner?",0x2000037
Thou dost believe that virtue resides in all people. Thou dost see a rogue steal from thy Lord. Dost thou:<B>1) Call him to justice<B>2) Personally try to sway him back to the path of good?,0x2000038
"Unwitnessed, thou hast slain a great dragon in self defense. A poor warrior claims the offered reward. Dost thou:<B>1) Step forward to claim the reward<B>2) Go about life, secure in thy self-esteem?",0x2000039
"Thou art a bounty hunter sworn to return an alleged murderer. After his capture, thou believest him to be innocent. Dost thou:<B>1) Surrender thy sizable bounty for thy belief<B>2) Keep thy oath to return him?",0x200003a
Thou hast spent thy life in charitable and righteous work. Thine uncle the innkeeper lies ill and asks you to take over his tavern. Dost thou:<B>1) Give thy life of purity to aid thy kin<B>2) Decline and follow thy spirit's call?,0x200003b
"Thou art an elderly, wealthy eccentric. Thy end is near. Dost thou:<B>1) Donate all thy wealth to feed hundreds of starving children, and receive public adulation<B>2) Quietly live out thy life, willing thy fortune to thy heirs?",0x200003c
In thy youth thou pledged to marry thy sweetheart. Now thou art on a sacred quest in distant lands. Thy sweetheart asks thee to keep thy vow. Dost thou:<B>1) Honor thy pledge to wed<B>2) Follow thy spiritual crusade?,0x200003d
"Thou art at a crossroads in thy life. Dost thou:<B>1) Choose the life of a Paladin, striving for Truth and Courage<B>2) Choose the life of a Shepherd, and a world of simplicity and peace?",0x200003e
Thy parents wish thee to become an apprentice. Two positions are available. Dost thou:<B>1) Become an acolyte in the spiritual order<B>2) Become an assistant to a humble village cobbler?,0x200003f
The gypsy places the first two cards upon the table.,0x2000040
The gypsy places two more of the cards upon the table.,0x2000041
"They are the cards of %s and %s. She says ""Consider this:""",0x2000042
By what name shalt thou be known in this world and time?,0x2000043
Checking player name...,0x2000044
That character name already exists. Please enter a different name.,0x2000045
That name is not allowed,0x2000046
That name is not available,0x2000047
That name could not be reserved,0x2000048
Validating character name...,0x2000049
By what password shall thee be identified?,0x200004a
Please verify thy password:,0x200004b
