Joshua,0x1000005
a wise mage,0x1000006
job,0x1000007
I can help.,0x1000008
heal,0x1000009
Well.,0x100000a
help,0x100000b
The riddle!,0x100000c
ridd,0x100000d
"If the eight philosophies of avatarhood combine into and are made from truth, love & courage...<q>More?<y>What one thing creates and is created by all truths, all love & all courage?<n>Oh.",0x100000e
a guard,0x100000f
a burly guard,0x1000010
job,0x1000011
I guard the castle and all within.,0x1000012
heal,0x1000013
Couldn't be better!,0x1000014
guar,0x1000015
I guard the castle!,0x1000016
cast,0x1000017
The castle is fair and strong!<q>Do you seek Lord British?<y>He is on the upper level in the throne room.<n>He will aid you if you are in need!,0x1000018
Water,0x1000019
water,0x100001a
job,0x100001b
I hold a secret.,0x100001c
heal,0x100001d
Fine.,0x100001e
secr,0x100001f
To what?,0x1000020
alta,0x1000021
"There are three altar rooms which connect the bottom levels of all eight dungeons!<q>More?<y>If the correct colors of stones are used in the altars, a key of three parts can be gained!<n>Oh.",0x1000022
Shawn,0x1000023
a shepherdess both strong and beautiful,0x1000024
job,0x1000025
I watch the water.,0x1000026
heal,0x1000027
Well.,0x1000028
wate,0x1000029
It brings me peace.,0x100002a
peac,0x100002b
"I come from a proud city.<q>Art thou proud?<y><@lose_humility>Hmmm.<n><@gain_humility>My towne was destroyed for its pride. The ruins lie on an isle at lat-K'J"" long-L'L""!",0x100002c
Seesha,0x100002d
an injured fighter,0x100002e
job,0x100002f
I fight for my country.,0x1000030
heal,0x1000031
I have a grievous wound.,0x1000032
woun,0x1000033
Deep.,0x1000034
coun,0x1000035
"Britannia.<q>Fight ye for Britannia?<y>Then seek out the smith named Zircon in Minoc for he made the mystic arms, only they will save thee in the abyss!<n>Hmm.",0x1000036
Chuckles,0x1000037
a bouncing jester,0x1000038
job,0x1000039
I am the royal jester.,0x100003a
heal,0x100003b
"Good, thanks.",0x100003c
jest,0x100003d
Welcome unto the Castle Britannia!<q>Hast thou an ankh?<y>Then enter in peace!<n>Then why art thou here?,0x100003e
clue,0x100003f
Speak ye unto the waters of the well and ask of altars!,0x1000040
a guard,0x1000041
a guard,0x1000042
job,0x1000043
A guard,0x1000044
heal,0x1000045
Excellent,0x1000046
guar,0x1000047
We guard the castle and its treasures.,0x1000048
trea,0x1000049
That is not your business.<q>Do you mean to steal?<y>I believe you will find that an unfruitful venture.<n>Then please leave at once!,0x100004a
Sheila,0x100004b
a solemn ranger,0x100004c
job,0x100004d
I search for the inner light.,0x100004e
heal,0x100004f
I am well.,0x1000050
ligh,0x1000051
Seek inner light in the shrines!,0x1000052
shri,0x1000053
Runes are needed to enter shrines!<q>Dost thou know of mantra?<y>Good.<n>The mantra are chants needed to focus thy thoughts while meditating.,0x1000054
Landri,0x1000055
a grim shepherd,0x1000056
job,0x1000057
I am here to warn thee!,0x1000058
heal,0x1000059
"I am fine, but thou must go back!",0x100005a
warn,0x100005b
Ahead lies a perilous place!,0x100005c
peri,0x100005d
Once thou enters thou may not return whence thee came!<q>Wilt thou go on?<y>Then thou art doomed!<n>That is good.,0x100005e
"a person. I will not be pushed, filed, stamped, indexed, briefed, debriefed, or numbered.",0x100005f
a stern man,0x1000060
heal,0x1000061
Top notch.,0x1000062
resi,0x1000063
Questions are a burden to others.,0x1000064
ques,0x1000065
Answers are a prison for oneself.,0x1000066
Juliet,0x1000067
a fair maiden,0x1000068
job,0x1000069
I can help thee.,0x100006a
heal,0x100006b
"Fine, thanks.",0x100006c
help,0x100006d
Seek ye to know how the eight virtues form into the three principles.<q>Know ye this?<y>Now the one!<n>Seek it!,0x100006e
one,0x100006f
Seek ye to know what one thing the three principles of virtue combine into!,0x1000070
Jester Twin,0x1000071
a dancing jester,0x1000072
job,0x1000073
To entertain.,0x1000074
heal,0x1000075
Perfectly hoppy!,0x1000076
jest,0x1000077
A jester needs a good bard!,0x1000078
bard,0x1000079
"Our bard is very good.<q>Dost thou like the music?<y>Then you should go to Britain, for there lives the best!<n>A shame, we do!",0x100007a
a guard,0x100007b
a burly guard,0x100007c
job,0x100007d
I guard the castle and my liege!,0x100007e
heal,0x100007f
Great!,0x1000080
guar,0x1000081
A guard must be a valiant warrior!<q>Art thou the most valiant warrior?<y><@lose_humility>Then thou should be a guard!<n><@gain_humility>Still flee not from battle!,0x1000082
lieg,0x1000083
I serve Lord British!,0x1000084
Le Chef,0x1000085
a person with a white hat,0x1000086
job,0x1000087
I am the chef.,0x1000088
heal,0x1000089
"Well.. All but my finger, which I cut!",0x100008a
food,0x100008b
"Food, glorious food, to cook is my life!",0x100008c
cook,0x100008d
Cooking is a practiced art.<q>Do you eat?<y>Then thou should try my soup!<n>Then thou must be a spiritualist!,0x100008e
a reaper,0x100008f
a reaper,0x1000090
job,0x1000091
I kill adventurers!,0x1000092
heal,0x1000093
"Not so good, no one to eat in here!",0x1000094
kill,0x1000095
There is a thing which can kill many!,0x1000096
thin,0x1000097
Knowledge of it is found at Buccaneer's Den!<q>Wilt thou seek this thing?<y>It will bring thee great power!<n>Then thou must be stupid.,0x1000098
a nameless prisoner,0x1000099
a ragged soul,0x100009a
job,0x100009b
I have none.,0x100009c
heal,0x100009d
Very poor.,0x100009e
crim,0x100009f
Crime is an evil thing!,0x10000a0
pris,0x10000a1
"Here I pay for my crimes!<q>Are you a pirate?<y><@lose_humility>You may never complete thy quests, for evil makes not an avatar!<n><@gain_humility>I hope that this is true!",0x10000a2
Zorin,0x10000a3
a wise mage,0x10000a4
job,0x10000a5
I am here to help thee.,0x10000a6
heal,0x10000a7
"I am old, very old....",0x10000a8
help,0x10000a9
Seek help in the castles!,0x10000aa
cast,0x10000ab
"Seek the Lycaeum, Empath Abbey, and Serpent's Castle!<q>Wilt thou go hither?<y>Find therein all named Antos and ask each for a bell, book, and candle!<n>Alas.",0x10000ac
Lord Robert,0x10000ad
a stately baron,0x10000ae
job,0x10000af
I rule this province.,0x10000b0
heal,0x10000b1
Very well.,0x10000b2
prov,0x10000b3
My Lady Marcy can tell thee more!,0x10000b4
word,0x10000b5
I know but one of three syllables.<q>Dost thou wish to know it now?<y>It is 'amo'. Seek ye now the other parts!<n>Perhaps another time.,0x10000b6
Lady Marcy,0x10000b7
a charming lady,0x10000b8
job,0x10000b9
I rule with my Lord.,0x10000ba
heal,0x10000bb
Well.,0x10000bc
rule,0x10000bd
This province.,0x10000be
prov,0x10000bf
Our people believe in love as a way of life and live it to the fullest!<q>Dost thou seek love?<y>Then may thou find it!<n>Then thou shalt not find it!,0x10000c0
Suzanna,0x10000c1
a lovely lady,0x10000c2
job,0x10000c3
I am a lady in waiting.,0x10000c4
heal,0x10000c5
Overworked!,0x10000c6
lady,0x10000c7
I serve Marcy.<q>Art thou allowed to be in here?<y>I doubt it! Thou should leave!<n>Thou should leave!,0x10000c8
horn,0x10000c9
"Ask the fighter and the paladin at the healer, for they have recently returned from Spiritwood!",0x10000ca
Life.,0x10000cb
an ankh,0x10000cc
job,0x10000cd
I resonate thoughts.,0x10000ce
heal,0x10000cf
I exist.,0x10000d0
reso,0x10000d1
What are thy thoughts?,0x10000d2
love,0x10000d3
The spirit of love is mightiest in the oak grove!<q>Dost though have a candle from the shrine of love?<y>Use it at the center of the grove!<n>Ask the bard beyond the secret passage!,0x10000d4
